CityName,CityID
liaoyang,881
heze,708
xinchang,75
nujiang,681
lvliang,902
kaiping,525
jinjiang,675
shanwei,624
xinghua,1946
guangan,693
deqin,2178
enping,623
jishou,865
qingzhou,898
tongliao,885
delingha,891
hukou,2386
shizuishan,889
nanxiong,2921
fuyang,361
boertala,2513
meishan,914
huangnan,120042
jianchuan,2215
tonghua,874
yushuzangzuzizhizhou,896
taining,2678
xiapu,1154
pingshan,1446238
yongtai,2665
binchuan,2157
shaoyang,867
jimusaer,2498
pinghu,533
liuyang,1337
jinzhai,2623
rushan,2046
wuwei,2618
jurong,817
hetiandiqu,557
zhumadian,642
shangluo,906
suining,2853
fugang,2935
changxing,1832
zhaoyang,1104
changli,1835
ruijin,1159
yunlong,2203
yunhe,2251
yishui,2035
shihezi,1168
pengzhou,1747
fuding,613
qidong,2849
naqu,919
huailai,2527
liancheng,609
beichuan,1934
zhoukou,709
pingliang,424
nanao,958
dongfang,842
meixian,2776
penghu,1367
wencheng,1003
zhaotong,929
yichuan,2282
fuyun,2509
wulanchabu,1358
binzhou,2740
fukang,2506
lushan,1446226
jiangyou,1037
feixi,2619
ruyuan,2937
jiaozhou,1836
bomi,2436
loudi,866
wuzhong,890
mengla,2210
chibi,1135
laishui,2545
shengzhou,553
xiaogan,862
heishui,120552
jingmen,634
longquan,2033
yangquan,904
zhaoping,3067
suizhong,2133
yiyang,2406
longkou,1567
qinzhou,697
yiliang,2176
huixian,1446179
xixia,2268
rugao,1372
guoluo,120013
lianjiang,2939
jianshui,2151
tongshan,2706
wenling,546
milin,2448
haiyang,1188
ningan,2233
xinzheng,2264
lincang,926
huichun,2461
congjiang,2344
zhangbei,2575
fuqing,1152
pingyang,1012
yinan,2036
guyuan,2591
pulan,2440
chongzhou,909
gongyi,1846
haiyan,1445066
fuxin,879
linxiahuizuzizhizhou,833
jingxian,2529
xingping,2739
wafangdian,2136
tieling,589
daxin,963
laiyuan,2549
qingtian,2247
hengshui,461
tongchuan,907
huian,2680
dunhua,1388
rongjiang,2346
jingning,2798
douyun,678
jinsha,2338
donghai,3078
songyuan,873
bayannaoer,883
tumen,2466
chengjiang,2171
ningxiang,2846
xilinhaote,1373
suizhou,860
qilian,120123
anxin,2521
kuandian,2137
tahe,1445182
haidong,120010
zhanghai,516
jiangshan,1000
genhe,2955
wuzhishan,982
dongshan,2662
xiuning,2625
xingyang,1842
siping,556
guigang,711
danzhou,841
huainan,638
pujiang,3136
lianzhou,1141
jiyuan,640
honghu,2031
mianxian,2779
laibin,839
xinyu,878
laoting,2082
wulanhaote,1316
basu,120403
panan,2028
anning,2150
dalateqi,2964
yiningshi,2058
tongling,472
yongkang,189
puning,1523
daishan,999
xinganxian,722
kuche,1345
renhua,959
shanshan,2502
huanren,2144
minhou,2666
nanjiang,3109
neijiang,823
guanghan,1349
dehua,2659
zhaosu,2508
yizheng,562
jiayixian,3182
hancheng,120420
yunfu,836
zoucheng,1359
zhada,2454
liquan,2759
lingshi,3011
jingbian,2745
shishi,245
ziyang,2782
linzhou,1446410
shangcheng,2260
puyang,581
luotian,2717
fengning,568
jixian,2238
miaoli,3199
dongyuan,2929
lingchuan,3064
fengshun,2934
duerbote,2231
huangling,2734
wuhai,677
heping,2948
zhangpu,2670
xinxing,2128582
suihua,856
longnan,2424
guangnan,2198
habahe,2480
dongxing,964
yulong,1446279
jingxing,2532
kashishi,2507
huaibei,657
xinglong,2528
qingtongxia,2330
lichuan,2421
hongjiang,2825
shiqian,2351
maerkang,913
